Year,GP_Name,Driver,LapNumber,Undercut_Successful,Gap_To_Ahead,Rival_Tyre_Age,Pace_Delta,Pit_Aggressiveness,StationaryDuration,InLap_Sec,OutLap_Sec
2022,Spain,STR,27.0,0,0.43800000000010186,16.0,-0.13299999999999557,11.5,23.398,105.403,110.401
2022,Spain,STR,46.0,0,17.838999999999942,19.0,-0.570999999999998,13.0,23.799,93.415,107.64
2022,Spain,LAT,12.0,0,4.84900000000016,14.0,0.7409999999999997,-3.5,23.27,94.853,109.125
2022,Spain,LAT,26.0,0,3.688000000000102,3.0,4.4199999999999875,-7.0,22.302,94.403,108.12
2022,Spain,LAT,50.0,0,14.981999999999971,6.0,2.6650000000000063,34.5,22.757,93.887,108.759
2022,Spain,MAG,1.0,0,,,,-14.5,29.619,135.888,113.833
2022,Spain,MAG,29.0,0,14.787000000000262,18.0,-20.179999999999993,-4.0,23.839,99.076,110.257
2022,Spain,ALB,11.0,0,0.7409999999999854,10.0,-3.257000000000005,-4.5,23.406,94.915,108.446
2022,Spain,ALB,25.0,0,2.8779999999997017,2.0,3.614999999999995,-8.0,22.655,95.378,108.293
2022,Spain,ALB,45.0,0,9.136999999999716,15.0,1.5769999999999982,29.5,23.251,94.44,109.747
2022,Spain,ALB,54.0,0,19.365999999999985,6.0,1.9470000000000027,21.0,23.442,94.61,109.761
2022,Spain,ZHO,10.0,0,1.8429999999998472,12.0,-0.125,-5.5,23.142,94.924,107.447
2022,Spain,ZHO,28.0,0,1.7070000000003347,19.0,-0.24600000000000932,-5.0,,111.317,
2022,Spain,LEC,21.0,0,,,,5.5,21.739,93.256,105.687
2022,Spain,LEC,27.0,0,,,,-6.0,,109.08,
2022,Monaco,VER,18.0,0,3.845000000001164,17.0,-0.980000000000004,0.0,26.772,109.118,88.667
2022,Monaco,VER,22.0,0,4.9100000000016735,,-2.1119999999999948,0.0,26.895,104.688,91.284
2022,Monaco,VER,30.0,0,0.9930000000003929,,-0.695999999999998,0.0,1175.562,,
2022,Monaco,GAS,2.0,0,1.5339999999996508,1.0,1.518999999999977,-20.0,35.158,,103.994
2022,Monaco,GAS,22.0,0,1.8349999999991269,21.0,-14.997,0.0,28.702,113.986,92.315
2022,Monaco,GAS,30.0,0,1.3209999999999127,7.0,-0.6569999999999965,0.0,1169.14,,133.363
2022,Monaco,PER,16.0,0,2.856999999999971,15.0,0.20999999999999375,-2.0,24.271,108.107,92.141
2022,Monaco,PER,22.0,0,,,,0.0,24.552,103.44,94.149
2022,Monaco,PER,30.0,0,,,,0.0,1172.072,,
2022,Monaco,ALO,21.0,0,1.6040000000011787,20.0,-0.06999999999999318,3.0,24.501,109.636,93.462
2022,Monaco,ALO,30.0,0,4.091000000000349,7.0,-7.195999999999998,0.0,1182.105,,140.85
2022,Monaco,LEC,18.0,0,,,,0.0,25.676,110.848,90.149
2022,Monaco,LEC,21.0,0,3.4719999999997526,,-0.6359999999999957,-1.0,28.045,106.56,92.589
2022,Monaco,LEC,30.0,0,2.9069999999992433,7.0,-1.0600000000000023,0.0,1176.849,,
2022,Monaco,STR,1.0,0,,,,-17.0,26.717,205.123,136.634
2022,Monaco,STR,2.0,0,12.346999999999753,1.0,12.34699999999998,-16.0,32.73,136.634,108.179
2022,Monaco,STR,24.0,0,4.443999999999505,,1.5750000000000028,2.0,25.639,105.702,96.439
2022,Monaco,STR,29.0,0,36.069000000001324,,3.430000000000007,-1.0,1175.021,,103.833
2022,Monaco,MAG,20.0,0,3.7340000000003783,18.0,4.216000000000008,2.0,,,
2022,Monaco,TSU,6.0,0,2.893000000000029,5.0,0.8010000000000019,-12.0,24.776,120.171,103.772
2022,Monaco,TSU,21.0,0,5.912000000000262,20.0,-17.882999999999996,-1.0,25.952,109.85,93.748
2022,Monaco,TSU,29.0,0,2.915999999999258,5.0,-1.3960000000000008,-1.0,1174.148,,101.279
2022,Monaco,TSU,56.0,0,9.8799999999992,32.0,1.777000000000001,17.0,25.089,110.325,84.996
2022,Monaco,ALB,18.0,0,1.7550000000010186,17.0,-0.4440000000000026,0.0,26.948,114.036,93.467
2022,Monaco,ALB,22.0,0,2.1970000000001164,15.0,-20.48299999999999,-8.0,31.316,130.065,93.811
2022,Monaco,ALB,29.0,0,7.2039999999997235,,-15.253,-10.0,1185.385,,113.564
2022,Monaco,ALB,49.0,0,1.077000000001135,,0.23400000000000887,10.0,,,
2022,Monaco,ZHO,19.0,0,0.9650000000001455,12.0,0.17600000000000193,1.0,25.6,113.108,99.451
2022,Monaco,ZHO,29.0,0,1.1660000000010768,,0.07399999999999807,-1.0,1174.277,,105.544
2022,Monaco,RIC,19.0,0,15.506000000001222,17.0,1.5849999999999937,1.0,26.05,113.645,99.04
2022,Monaco,RIC,30.0,0,4.260000000000218,,-0.08200000000000784,0.0,1168.735,,132.868
2022,Monaco,OCO,21.0,0,18.61499999999978,,2.036999999999992,3.0,24.836,107.323,97.375
2022,Monaco,OCO,30.0,0,5.075999999999112,7.0,-13.86,0.0,1186.528,,135.492
2022,Monaco,NOR,17.0,0,12.82300000000032,16.0,1.5789999999999935,-1.0,24.547,109.364,91.205
2022,Monaco,NOR,22.0,0,2.650000000001455,,-16.201999999999998,0.0,24.707,104.131,89.262
2022,Monaco,NOR,30.0,0,2.3659999999999854,,-1.7729999999999961,0.0,1183.011,,142.602
2022,Monaco,NOR,51.0,0,6.729999999999563,20.0,0.6550000000000011,21.0,24.58,95.948,83.556
2022,Monaco,HAM,15.0,0,4.886000000000422,14.0,0.6899999999999977,-3.0,24.691,110.385,92.152
2022,Monaco,HAM,22.0,0,0.8569999999999709,21.0,-18.557999999999993,0.0,24.397,105.059,89.726
2022,Monaco,HAM,30.0,0,3.1560000000008586,,-4.213999999999999,0.0,1186.205,,138.144
